2023-10-08 17:15:15.726 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202009A384') where user_id='jx0749489889618515172367';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='N000004-708-253') where user_id='jx0749482945997902822488';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202009A231') where user_id='jx0749485624311800967708';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='N000004-940-300') where user_id='jx0749487457856714731055';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202009A232') where user_id='jx0749483610921577642984';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B008') where user_id='jx0749470740189354691620';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008C011') where user_id='jx0749472063195276975423';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008C105') where user_id='jx0749472460958010137983';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B034') where user_id='jx0749472538859848626290';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B007') where user_id='jx0749473215375460772625';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B029') where user_id='jx0749474072117959653556';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B028') where user_id='jx0749474417760114650790';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008C206') where user_id='jx0749474542369011877161';
2023-10-08 17:15:15.728 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B036') where user_id='jx0749476696568788949599';
2023-10-08 17:15:15.729 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B012') where user_id='jx0749477514596697718509';
2023-10-08 17:15:15.729 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B030') where user_id='jx0749477610427401560735';
2023-10-08 17:15:15.729 DEBUG 4728 --- [main] m.e.service.impl.SqlServiceImpl          : 记录：update sys_user set community_name=(select community_name from base_village where village_id='FL202008B031') where user_id='jx0749477949088492772243';
